회사명,종목코드,업종
대창단조,015230,자동차 부품
에이엔피,015260,전자부품 제조
예스코홀딩스,015360,기타 금융
쎌마테라퓨틱스,015540,사업지원 서비스
큐로,015590,일반 목적용 기계 제조
코콤,015710,통신 장비 제조
성우하이텍,015750,자동차 부품
한국전력공사,015760,전기
일진홀딩스,015860,기타 금융
태경산업,015890,화학물질 제조
대현,016090,의복 제조
리더스코스메틱,016100,화학제품
SGC이테크건설,016250,건물 건설
삼성증권,016360,금융 지원
KG스틸,016380,1차 철강
한세예스24홀딩스,016450,의복 제조
환인제약,016580,의약품 제조
신대양제지,016590,종이 제품 제조
큐캐피탈,016600,기타 금융
DB금융투자,016610,금융 지원
디모아,016670,전문 도매
대성홀딩스,016710,회사 본부 및 경영 컨설팅
두올,016740,자동차 부품
현대사료,016790,사료 제조
퍼시스,016800,가구 제조
웅진,016880,기타 금융
카스,016920,기계장비 도매
신원종합개발,017000,건물 건설
광명전기,017040,전기 장치 제조
명문제약,017180,의약품 제조
인터엠,017250,영상 및 음향기기 제조
우신시스템,017370,특수 목적용 기계 제조
서울도시가스,017390,연료용 가스 제조 및 배관
삼현철강,017480,1차 철강
세명전기,017510,금속 가공
수산중공업,017550,특수 목적용 기계 제조
대림제지,017650,종이 및 판지 제품 제조
SK텔레콤,017670,전기 통신
현대엘리베이터,017800,일반 목적용 기계 제조
풀무원,017810,기타 식품 제조
한국알콜,017890,화학제품
광전자,017900,반도체 제조
E1,017940,전문 도매
한국카본,017960,구조용 금속제품 제조
유니슨,018000,일반 목적용 기계 제조
진로발효,018120,알코올 음료
애경산업,018250,화학제품
삼성에스디에스,018260,컴퓨터 시스템 관리
브이티지엠피,018290,컴퓨터 주변장치 제조
삼목에스폼,018310,구조용 금속제품 제조
조일알미늄,018470,1차 비철금속 제조
동원금속,018500,자동차 부품
우진비앤지,018620,의약품 제조
SK가스,018670,전문 도매
서울제약,018680,의약품 제조
바른손,018700,생활용품 도매
한온시스템,018880,일반 목적용 기계 제조
베뉴지,019010,종합 소매
신풍제약,019170,의약품 제조
티에이치엔,019180,전기장비 제조
와이지-원,019210,금속 가공
세아특수강,019440,1차 철강
하이트론씨스템즈,019490,영상 및 음향기기 제조
일지테크,019540,자동차 부품
SBI인베스트먼트,019550,신탁 및 집합투자
리더스 기술투자,019570,신탁 및 집합투자
엠벤처투자,019590,신탁 및 집합투자
글로본,019660,상품 종합 도매
대교,019680,초등 교육기관
서연탑메탈,019770,특수 목적용 기계 제조
에너토크,019990,일반 목적용 기계 제조
한섬,020000,의복 제조
키다리스튜디오,020120,인터넷 정보매개 서비스
일진머티리얼즈,020150,전자부품 제조
대신정보통신,020180,컴퓨터 시스템 관리
대동금속,020400,금속 주조
아시아나항공,020560,항공 여객 운송
시공테크,020710,전문디자인
일진디스플,020760,반도체 제조
대호특수강,021040,1차 철강
서원,021050,금속 주조
에이티넘인베스트,021080,신탁 및 집합투자
코웨이,021240,개인 서비스
KCC건설,021320,건물 건설
한국큐빅,021650,플라스틱제품 제조
세원정공,021820,자동차 부품
메이슨캐피탈,021880,기타 금융
포스코 ICT,022100,건축기술
TKG애강,022220,플라스틱제품 제조
삼원강재,023000,자동차 부품
MH에탄올,023150,알코올 음료
태광,023160,1차 철강
한국종합기술,023350,건축기술
유진기업,023410,"시멘트, 석회, 플라스터"
제이스코홀딩스,023440,1차 철강
동남합성,023450,화학물질 제조
CNH,023460,신탁 및 집합투자
롯데쇼핑,023530,종합 소매
다우기술,023590,인터넷 정보매개 서비스
삼보판지,023600,"펄프, 종이 및 판지 제조"
한국캐피탈,023760,기타 금융
플레이위드,023770,소프트웨어 개발
동일철강,023790,1차 철강
인지컨트롤스,023800,자동차 부품
인팩,023810,자동차 부품
풍국주정,023900,알코올 음료
대한약품,023910,의약품 제조
에쓰씨엔지니어링,023960,토목 건설
흥구석유,024060,전문 도매
WISCOM,024070,플라스틱제품 제조
디씨엠,024090,1차 철강
기업은행,024110,은행
KB오토시스,024120,자동차 부품
한국콜마홀딩스,024720,기타 금융
한일단조,024740,자동차 부품
유성티엔에스,024800,육상 여객 운송
이화전기,024810,전기 장치 제조
세원물산,024830,자동차 부품
KBI메탈,024840,1차 비철금속 제조
피에스엠씨,024850,전자부품 제조
케이피에프,024880,금속 가공
대원화성,024890,플라스틱제품 제조
덕양산업,024900,자동차 부품
경창산업,024910,자동차 부품
PN풍년,024940,금속 가공
삼천리자전거,024950,생활용품 도매
KPX케미칼,025000,화학물질 제조
시노펙스,025320,전자부품 제조
대성엘텍,025440,영상 및 음향기기 제조
에스제이엠홀딩스,025530,자동차 부품
한국단자공업,025540,전기 장치 제조
